_MEMBER_gene_name,_LogP_gene_name,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-7.890250742698915,GO:0070633,M1,1,0,GO Biological Processes,19,transepithelial transport,19_GO:0051179 localization,-7.890250742698915,65.54978354978356,17.857729833160953,30284,33,70,5,7.142857142857143,3.0781843120404813,1906|5243|6338|6506|9429,EDN1|ABCB1|SCNN1B|SLC1A2|ABCG2,-3.5510179943999534,0,1,1,1,-7.890250742698915,65.54978354978356,
1,-6.579915779895734,GO:0003018,M1,1,0,GO Biological Processes,19,vascular process in circulatory system,19_GO:0032501 multicellular organismal process,-6.579915779895734,12.449743062692702,9.231205994520007,30284,278,70,8,11.428571428571429,3.8027150037068127,1906|5243|6338|6506|6566|7037|9429|143872,EDN1|ABCB1|SCNN1B|SLC1A2|SLC16A1|TFRC|ABCG2|ARHGAP42,-2.637225604518977,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-6.499337098098276,GO:0003013,M1,1,0,GO Biological Processes,19,circulatory system process,19_GO:0032501 multicellular organismal process,-6.499337098098276,8.335810624827966,8.113779529949094,30284,519,70,10,14.285714285714286,4.182428884065143,1392|1906|4088|5243|6338|6506|6566|7037|9429|143872,CRH|EDN1|SMAD3|ABCB1|SCNN1B|SLC1A2|SLC16A1|TFRC|ABCG2|ARHGAP42,-2.637225604518977,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-5.739938619414481,GO:0010232,M1,1,0,GO Biological Processes,19,vascular transport,19_GO:0051179 localization,-5.739938619414481,24.863711001642038,10.729020215516533,30284,87,70,5,7.142857142857143,3.0781843120404813,5243|6506|6566|7037|9429,ABCB1|SLC1A2|SLC16A1|TFRC|ABCG2,-2.1788571214991634,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-5.739938619414481,GO:0150104,M1,1,0,GO Biological Processes,19,transport across blood-brain barrier,19_GO:0051179 localization,-5.739938619414481,24.863711001642038,10.729020215516533,30284,87,70,5,7.142857142857143,3.0781843120404813,5243|6506|6566|7037|9429,ABCB1|SLC1A2|SLC16A1|TFRC|ABCG2,-2.1788571214991634,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-4.830319599517846,GO:0045177,M1,1,0,GO Cellular Components,20,apical part of cell,,-4.830319599517846,7.225529376677602,6.610645009643657,30284,479,70,8,11.428571428571429,3.8027150037068127,4851|5243|5327|6338|6566|8323|9429|221395,NOTCH1|ABCB1|PLAT|SCNN1B|SLC16A1|FZD6|ABCG2|ADGRF5,-1.6952068338748099,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-3.5093016266112844,GO:0098552,M1,1,0,GO Cellular Components,20,side of membrane,,-3.5093016266112844,4.664458991143627,4.864477819235357,30284,742,70,8,11.428571428571429,3.8027150037068127,785|3791|5243|6338|7037|9429|57488|135228,CACNB4|KDR|ABCB1|SCNN1B|TFRC|ABCG2|ESYT2|CD109,-1.0352880801220368,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-3.4093525492555186,GO:0016324,M1,1,0,GO Cellular Components,20,apical plasma membrane,,-3.4093525492555186,6.285160843998617,5.2053832413227745,30284,413,70,6,8.571428571428571,3.345943107252114,4851|5243|6338|6566|8323|9429,NOTCH1|ABCB1|SCNN1B|SLC16A1|FZD6|ABCG2,-0.9786048198352071,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-3.2800913775084215,GO:0009410,M1,1,0,GO Biological Processes,19,response to xenobiotic stimulus,19_GO:0050896 response to stimulus,-3.2800913775084215,5.939980385746977,5.006796685930319,30284,437,70,6,8.571428571428571,3.345943107252114,1392|1906|5243|6338|6506|7037,CRH|EDN1|ABCB1|SCNN1B|SLC1A2|TFRC,-0.8902486358543731,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-3.1546440772165263,GO:0046942,M1,1,0,GO Biological Processes,19,carboxylic acid transport,19_GO:0051179 localization,-3.1546440772165263,7.115601503759399,5.158275243135987,30284,304,70,5,7.142857142857143,3.0781843120404813,785|5243|6506|6566|9429,CACNB4|ABCB1|SLC1A2|SLC16A1|ABCG2,-0.8464306424799415,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-3.148236892838279,GO:0015849,M1,1,0,GO Biological Processes,19,organic acid transport,19_GO:0051179 localization,-3.148236892838279,7.0922716627634665,5.147127962251317,30284,305,70,5,7.142857142857143,3.0781843120404813,785|5243|6506|6566|9429,CACNB4|ABCB1|SLC1A2|SLC16A1|ABCG2,-0.8464306424799415,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-3.0358477180418393,GO:0046943,M1,1,0,GO Molecular Functions,21,carboxylic acid transmembrane transporter activity,,-3.0358477180418393,9.30384024577573,5.467779525268594,30284,186,70,4,5.714285714285714,2.7743094641577843,5243|6506|6566|9429,ABCB1|SLC1A2|SLC16A1|ABCG2,-0.7829748004176263,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-3.027208441851239,GO:0005342,M1,1,0,GO Molecular Functions,21,organic acid transmembrane transporter activity,,-3.027208441851239,9.254087089381207,5.449700079194453,30284,187,70,4,5.714285714285714,2.7743094641577843,5243|6506|6566|9429,ABCB1|SLC1A2|SLC16A1|ABCG2,-0.7778808049916758,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-2.998991594056892,GO:0140352,M1,1,0,GO Biological Processes,19,export from cell,19_GO:0051179 localization,-2.998991594056892,5.243982683982685,4.582395780040378,30284,495,70,6,8.571428571428571,3.345943107252114,1906|4851|5243|6926|9429|81575,EDN1|NOTCH1|ABCB1|TBX3|ABCG2|APOLD1,-0.7635625667138874,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-2.6245155345216693,GO:0009897,M1,1,0,GO Cellular Components,20,external side of plasma membrane,,-2.6245155345216693,5.394371214820093,4.263842812362386,30284,401,70,5,7.142857142857143,3.0781843120404813,3791|5243|6338|7037|9429,KDR|ABCB1|SCNN1B|TFRC|ABCG2,-0.5370026905268815,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-2.5693961717226665,GO:0015711,M1,1,0,GO Biological Processes,19,organic anion transport,19_GO:0051179 localization,-2.5693961717226665,5.237634036665514,4.1736684745111265,30284,413,70,5,7.142857142857143,3.0781843120404813,785|5243|6506|6566|9429,CACNB4|ABCB1|SLC1A2|SLC16A1|ABCG2,-0.5044086587688582,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-2.452737231687405,GO:0008514,M1,1,0,GO Molecular Functions,21,organic anion transmembrane transporter activity,,-2.452737231687405,6.433138608603293,4.30826200416582,30284,269,70,4,5.714285714285714,2.7743094641577843,5243|6506|6566|9429,ABCB1|SLC1A2|SLC16A1|ABCG2,-0.43156781835120545,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-2.3831975796112532,GO:1905039,M1,1,0,GO Biological Processes,19,carboxylic acid transmembrane transport,19_GO:0051179 localization,-2.3831975796112532,9.337307297019528,4.742091405667523,30284,139,70,3,4.285714285714286,2.420755730972851,5243|6506|6566,ABCB1|SLC1A2|SLC16A1,-0.3903178057629307,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-2.3488187114822736,GO:1903825,M1,1,0,GO Biological Processes,19,organic acid transmembrane transport,19_GO:0051179 localization,-2.3488187114822736,9.076123876123876,4.659469978446027,30284,143,70,3,4.285714285714286,2.420755730972851,5243|6506|6566,ABCB1|SLC1A2|SLC16A1,-0.37507394807421207,0,1,0,0,-7.890250742698915,65.54978354978356,
1,-2.299170152415398,GO:0042886,M1,1,0,GO Biological Processes,19,amide transport,19_GO:0051179 localization,-2.299170152415398,8.710642377756471,4.541428206628181,30284,149,70,3,4.285714285714286,2.420755730972851,1906|5243|9429,EDN1|ABCB1|ABCG2,-0.3346857501265404,0,1,0,0,-7.890250742698915,65.54978354978356,
