,gene_name,Pearson_Correlation,P_Value
328,EHD3,0.8883195630969236,0.0002584510554664245
1063,CYFIP1,0.8478340745134949,0.0009782193477578325
1076,GPR116,0.9088827275637626,0.0001066529721581943
1197,TFRC,0.8672616866840791,0.0005448122118049911
1438,EDN1,0.8794140118899598,0.00036018813202376654
1581,COBLL1,0.8541234639899773,0.0008167372791758749
1678,ABCB1,0.9242619216614899,4.7484744993328775e-05
2754,PLLP,0.8537390629795021,0.0008259860833305098
2934,PLAT,0.8592457402068605,0.0007007919576168335
3111,SIGLEC8,0.8758281565416344,0.00040875358584108206
3413,DOCK8,0.9393351591886914,1.7884393956696994e-05
3818,SLC1A2,0.8935610576309001,0.00020981232494931103
3923,OAS2,0.8755046938109914,0.0004133662439113853
3976,SUDS3,-0.8582484826619676,0.0007223246032239645
4160,MAN2A1,0.8507968040095263,0.0008994166963105547
4240,NR3C1,0.8972786585749416,0.0001797864376341813
4805,ESYT2,0.8748426453799208,0.0004229300861021401
4887,ABCG2,0.8471900618077032,0.0009960143615226188
5669,DOK4,-0.866057710525002,0.0005663769093196603
5866,THRA,-0.8563049115046358,0.0007657202286567384
5958,PTPRB,0.8603486413837566,0.0006775461577641093
6038,KDR,0.864903697391584,0.0005876463404797545
6161,BBOX1,0.8526817935239865,0.0008518315253244533
6579,RHPN2,0.8940490902383482,0.000205667460167384
6633,PTPRE,0.8477951675936466,0.000979287562479472
6904,EDEM1,0.8868209111458333,0.0002738146142549645
7084,TBX3,0.8932618729233309,0.0002123845367449581
7410,TOR1B,-0.8542291894769137,0.000814207232474496
7616,PAQR5,0.854193035924758,0.0008150717337393416
7703,ENTPD1,0.8568224729107101,0.0007539772874456438
7798,TRPC3,0.8755309365009344,0.00041299055377817345
8527,HCN3,-0.9216941844462101,5.49628229557421e-05
8626,GPR17,0.8512783640388404,0.0008870744111006491
8892,PPP1R18,-0.8946750124723476,0.00020044304790212166
9081,CRH,-0.8998135768016806,0.00016127310044444708
9185,NACC2,0.8531822830081598,0.0008395220393746358
9571,BAG3,0.8576028733228087,0.0007365281953827964
9787,KCNJ16,0.9430983866725882,1.348064324630393e-05
9967,SAMSN1,0.8963599419091135,0.00018688057873023274
9976,SLC16A1,0.8921868297220175,0.0002218256065863737
10110,CD109,0.9010817987367922,0.0001525751935432424
10151,B3GNT7,0.8600311644009049,0.0006841770246874998
10586,PRMT2,-0.9076749713999329,0.00011296130775670976
10700,USP41,0.8635156319832773,0.0006140228846083847
10900,ELTD1,0.8569866826891503,0.00075028007102251
10915,GBP4,0.875488195711241,0.0004136025630905748
11607,FZD6,0.9115147556162493,9.383868710934904e-05
12126,SMAD3,0.8608047590715124,0.00066810466675659
12511,SCNN1B,0.8552441515396043,0.0007902182501527358
12673,AFAP1L2,0.8506797681635316,0.0009024357305607798
12708,SH3TC2,0.8521188934982558,0.0008658379025613187
12817,LIMS1,0.9039570774939253,0.00013418080807321237
12879,TMEM154,0.8960140706133574,0.00018960580864783706
13035,TMEM133,0.8819269081780379,0.0003288576572674369
13362,LDHAL6B,0.8504672665882155,0.0009079368764183047
13701,PEAK1,0.8472092243261777,0.0009954813846633588
13817,TLR10,0.8734081543924409,0.00044422693198414246
14015,CADM2,0.9400493364039922,1.6974021241710705e-05
14166,A2M,0.8759914375129829,0.00040644002507525686
14495,PAWR,0.8543951919653925,0.0008102466593111215
14779,APOLD1,0.8496377472071763,0.0009296530741256416
14866,LDLRAD3,0.8938389106529678,0.00020744480386611009
15489,CACNB4,0.8478410757426529,0.0009780272175764501
16345,LYG2,0.870661547358561,0.0004872595356864533
16493,ZNRF1,-0.8599936292687238,0.0006849642135929549
17248,HN1,-0.8570299166604345,0.0007493089271984519
17719,ACSL5,0.8721117065763365,0.0004641640094938154
23499,DNAJC9,-0.8860416115538233,0.0002820727492455524
24576,AC046130.1,0.8662030746388178,0.0005637395863403193
24907,AC010150.1,0.8494261951313338,0.0009352533683509693
29234,AC092669.5,0.8680776760492833,0.0005305538576523295
31455,RP11-793G16.3,0.8953066654857943,0.00019527382165966493
31749,RP5-1112D6.4,-0.8577443938640155,0.0007333968326430577
32363,HHATL-AS1,0.8895409106981825,0.0002464223590010951
33731,RP11-33N11.1,-0.8524161615209392,0.0008584196840342344
34536,RP11-307L3.2,0.854166826069566,0.0008156988943699452
37819,AC068196.1,-0.875893098232387,0.00040783222218998007
40520,RP11-38P22.2,0.8585328008859738,0.0007161354871590076
42315,AC117508.1,0.8945996380562931,0.0002010667700177617
42853,ALDH1L1-AS2,0.8480184849527366,0.0009731681592800407
42973,AC099508.1,-0.898106679039394,0.0001735700773186074
45123,RP11-723O4.8,0.8516844638687643,0.0008767656529537466
45181,RP11-90D4.1,-0.8640748691280979,0.0006032907335089597
46295,AC098691.1,0.8526241055433514,0.0008532590437426703
47190,RP11-366K18.3,0.8775697611571373,0.0003845843856916762
49622,RP11-513G19.1,0.8850981191562182,0.00029232242342415053
50828,RP11-588H23.3,0.9247474008637591,4.6163341698830206e-05
51270,RP11-433J8.1,-0.8956646186645645,0.00019238987353824204
51325,RP11-1012A1.7,-0.8642653737371214,0.0005996673794055826
52035,RP11-654A16.3,-0.8845565884505915,0.00029833168728438244
